date,description,amount,type
2026-06-20,ZEELIVE SUBSCRIPTION,299,DEBIT
2026-06-21,ZOMATO ORDER - LUNCH,385,DEBIT
2026-06-21,GARAGE - CAR SERVICE,4500,DEBIT
2026-06-22,IRCTC TRAIN TICKET,1120,DEBIT
2026-06-22,SWIGGY ORDER - SNACKS,290,DEBIT
2026-06-23,URBAN COMPANY - SALON,350,DEBIT
2026-06-23,FLIPKART ORDER - CLOTHING,2199,DEBIT
2026-06-24,NETFLIX SUBSCRIPTION,649,DEBIT
2026-06-24,OLA CAB,220,DEBIT
2026-06-25,SPOTIFY PREMIUM,199,DEBIT
2026-06-25,BARBEQUE NATION DINNER,2400,DEBIT
2026-06-26,MYNTRA ORDER - CLOTHING,3299,DEBIT
2026-06-26,AIRTEL RECHARGE,49,DEBIT
2026-06-27,SWIGGY ORDER,410,DEBIT
2026-06-27,BOOKMYSHOW - CONCERT,2500,DEBIT
2026-06-28,MCDONALDS,520,DEBIT
2026-06-28,URBAN COMPANY - HAIRCUT,200,DEBIT
2026-06-29,AMAZON IN - KITCHEN ITEMS,1799,DEBIT
2026-06-29,ZOMATO ORDER - THALI,350,DEBIT
2026-06-30,BESCOM ELECTRICITY BILL,2230,DEBIT
2026-06-30,DMART - MONTHLY STORE,2890,DEBIT
2026-07-01,SALARY - TECHMAHINDRA LTD,85000,CREDIT
2026-07-01,SWIGGY ORDER,380,DEBIT
2026-07-02,ZOMATO ORDER - COLLEGE FEAST,920,DEBIT
2026-07-02,UBER INDIA - OFFICE RIDE,255,DEBIT
2026-07-03,NETFLIX SUBSCRIPTION,649,DEBIT
2026-07-03,GOOGLE ONE STORAGE,130,DEBIT
2026-07-04,AMAZON IN - ELECTRONICS,3999,DEBIT
2026-07-04,DMART - GROCERIES,2740,DEBIT
2026-07-05,RENT PAYMENT - LANDLORD,18000,DEBIT
2026-07-05,RELIANCE FRESH,1650,DEBIT
2026-07-06,BPCL PETROL BUNK,2300,DEBIT
2026-07-06,SWIGGY ORDER,340,DEBIT
2026-07-07,SPOTIFY PREMIUM,199,DEBIT
2026-07-07,OLA CAB - MULTIPLE TRIPS,1240,DEBIT
2026-07-08,PVR CINEMAS - MOVIE,850,DEBIT
2026-07-08,ZOMATO ORDER - LUNCH,480,DEBIT
2026-07-09,FREELANCE PAYMENT,22000,CREDIT
2026-07-09,AMAZON PRIME RENEWAL,1499,DEBIT
2026-07-10,JIO FIBER BROADBAND,999,DEBIT
2026-07-10,BESCOM ELECTRICITY BILL,1980,DEBIT
2026-07-11,ZOMATO ORDER,520,DEBIT
2026-07-11,DOMINOS PIZZA,1049,DEBIT
2026-07-12,FLIPKART ORDER - HOME DECOR,1890,DEBIT
2026-07-13,APOLLO PHARMACY,380,DEBIT
2026-07-14,SWIGGY ORDER - MILKSHAKE,210,DEBIT
2026-07-14,CRED - CREDIT CARD BILL,11000,DEBIT
2026-07-15,LIC LIFE INSURANCE,4500,DEBIT
2026-07-15,BIGBASKET,1940,DEBIT
2026-07-16,UBER INDIA,280,DEBIT
2026-07-16,CULT FITNESS GYM-MEMBERSHIP,2500,DEBIT
2026-07-17,SWIGGY ORDER,490,DEBIT
2026-07-17,AMAZON IN - FURNITURE,8999,DEBIT
2026-07-18,ZEELIVE SUBSCRIPTION,299,DEBIT
2026-07-18,DMART - WEEKLY STORE,1320,DEBIT
2026-07-19,IRCTC TRAIN TICKET,1560,DEBIT
2026-07-19,ZOMATO ORDER,580,DEBIT
2026-07-20,MEESHO ORDER,599,DEBIT
